date,orders,rolling_std_7d
2017-11-24,1166,366.234377206208
2017-11-25,499,358.9586791447358
2017-11-26,387,344.21055294965146
2017-11-27,400,333.4754934952564
2017-11-28,376,321.0456131366472
2017-11-29,318,306.7462112157836
2017-11-30,264,308.0489293231562
2017-12-01,274,81.93638647494424
2017-12-02,214,71.30918594402819
2017-12-03,231,70.8912648255863
2018-01-04,255,75.20606611804867
2018-01-05,209,77.69139193599449
2018-01-06,215,73.91629757786156
2018-05-09,341,66.53427330188194
2018-05-10,278,66.16105889634557
2018-05-11,246,67.42085306914633
2018-05-12,204,65.57438524301993
2018-05-13,206,66.13838306373768
2018-05-15,351,68.24326235712101
2018-05-16,356,70.52355229688463
2018-05-17,226,74.18541764037039
2018-05-18,236,75.01523654755546
2018-05-19,138,88.68483523128393
2018-05-20,160,95.48796982317906
2018-05-21,201,85.91995167152997
2018-05-22,197,70.5991366465485
2018-07-18,305,65.81973940420919
2018-08-12,197,73.00554447307067
2018-08-25,69,69.77446660832375
2018-08-26,73,76.34882354786312
2018-08-27,66,67.21819481573108
